Year,Q1,Q2,Q3,Q4,Anual
2013,NaN,NaN,4.5,3.1,7.6
2014,2.8,3.4,6.4,2.3,14.8
2015,2.9,4,8.4,2.4,17.6
2016,3.5,3.9,9.7,2.9,20
2017,3.3,4.2,9,2.5,19
2018,3.2,3.9,8.1,2.6,17.8
2019,3.2,2.8,6,1.4,13.5
2020,1.9,1.5,NaN,NaN,NaN
