date,price
10-21-2013,900
11-15-2013,1000
11-24-2013,1100
12-01-2013,900
12-07-2013,800
12-14-2013,750
12-25-2013,850
01-01-2014,650
01-07-2014,600
01-14-2014,550
01-30-2014,500
02-07-2014,450
02-14-2014,400
02-20-2014,420
02-28-2014,480
03-07-2014,500
03-14-2014,525
03-22-2014,500
04-01-2014,520
04-08-2014,550
04-15-2014,480
04-23-2014,450
05-01-2014,420
05-07-2014,450
05-14-2014,400
05-25-2014,450
