date,price
11-15-13,900
11-22-13,1000
11-29-13,1100
12-06-13,900
12-13-13,800
12-20-13,750
12-27-13,850
01-03-14,650
01-10-14,600
01-17-14,550
01-24-14,550
01-31-14,550
02-07-14,500
02-14-14,450
02-21-14,400
02-28-14,420
03-07-14,480
03-14-14,500
03-21-14,525
03-28-14,500
04-04-14,520
04-11-14,550
04-18-14,480
04-25-14,480
05-02-14,450
05-09-14,420
05-16-14,450
05-23-14,400
